building_id,building_id_inf,contributor,publication,region,country,city,lat,lon,climate,building_type,cooling_type,year,records,has_age,has_ec,has_timestamp,timezone,met_source,isd_station,isd_distance,database,quality_assurance
171,no,Guy Newsham,"Newsham, G. R. & Tiller, D. K. (1995) A field study of Thermal Comfort using questionnaire software. IRC Internal Report. No 708.",americas,canada,ottawa,45.4215296,-75.6971931,humid midlatitude,office,air conditioned,1994,44,categorical,no,yes,America/Toronto,rp884,716280-99999,11.2,1.0,pass
172,no,Fergus Nicol,"Nicol, J. F.,  Jami, G. N., Sykes, O., Humpherys, M., Roaf, S. & Hancock, M. (1994). Thermal Comfort in Pakistan. Oxford Brookes University.",asia,pakistan,karachi,24.8607343,67.0011364,desert (hot arid),office,naturally ventilated,1993,190,yes,no,yes,Asia/Karachi,rp884,NA,NA,1.0,pass
173,no,Fergus Nicol,"Nicol, J. F.,  Jami, G. N., Sykes, O., Humpherys, M., Roaf, S. & Hancock, M. (1994). Thermal Comfort in Pakistan. Oxford Brookes University.",asia,pakistan,karachi,24.8607343,67.0011364,desert (hot arid),office,naturally ventilated,1994,470,yes,no,yes,Asia/Karachi,rp884,NA,NA,1.0,pass
174,no,Fergus Nicol,"Nicol, J. F.,  Jami, G. N., Sykes, O., Humpherys, M., Roaf, S. & Hancock, M. (1994). Thermal Comfort in Pakistan. Oxford Brookes University.",asia,pakistan,multan,30.157458,71.5249154,desert (hot arid),office,naturally ventilated,1993,437,yes,no,yes,Asia/Karachi,rp884,NA,NA,1.0,pass
175,no,Fergus Nicol,"Nicol, J. F.,  Jami, G. N., Sykes, O., Humpherys, M., Roaf, S. & Hancock, M. (1994). Thermal Comfort in Pakistan. Oxford Brookes University.",asia,pakistan,peshawar,34.0151366,71.5249154,semi arid midlatitude,office,naturally ventilated,1993,556,yes,no,yes,Asia/Karachi,rp884,415300-99999,5.4,1.0,pass
176,no,Fergus Nicol,"Nicol, J. F.,  Jami, G. N., Sykes, O., Humpherys, M., Roaf, S. & Hancock, M. (1994). Thermal Comfort in Pakistan. Oxford Brookes University.",asia,pakistan,peshawar,34.0151366,71.5249154,semi arid midlatitude,office,naturally ventilated,1994,513,yes,no,yes,Asia/Karachi,rp884,NA,NA,1.0,pass
177,no,Fergus Nicol,"Nicol, J. F.,  Jami, G. N., Sykes, O., Humpherys, M., Roaf, S. & Hancock, M. (1994). Thermal Comfort in Pakistan. Oxford Brookes University.",asia,pakistan,quettar,30.1798398,66.9749731,desert (hot arid),office,naturally ventilated,1993,492,yes,no,yes,Asia/Karachi,rp884,NA,NA,1.0,pass
178,no,Fergus Nicol,"Nicol, J. F.,  Jami, G. N., Sykes, O., Humpherys, M., Roaf, S. & Hancock, M. (1994). Thermal Comfort in Pakistan. Oxford Brookes University.",asia,pakistan,quettar,30.1798398,66.9749731,desert (hot arid),office,naturally ventilated,1993,425,yes,no,yes,Asia/Karachi,rp884,NA,NA,1.0,pass
179,no,Fergus Nicol,"Nicol, J. F.,  Jami, G. N., Sykes, O., Humpherys, M., Roaf, S. & Hancock, M. (1994). Thermal Comfort in Pakistan. Oxford Brookes University.",asia,pakistan,saidu,34.7492118,72.3562713,semi arid high altitude,office,naturally ventilated,1993,568,yes,no,yes,Asia/Karachi,rp884,NA,NA,1.0,pass
180,no,Fergus Nicol,"Nicol, J. F.,  Jami, G. N., Sykes, O., Humpherys, M., Roaf, S. & Hancock, M. (1994). Thermal Comfort in Pakistan. Oxford Brookes University.",asia,pakistan,saidu,34.7492118,72.3562713,semi arid high altitude,office,naturally ventilated,1993,548,yes,no,yes,Asia/Karachi,rp884,NA,NA,1.0,pass
181,no,Fergus Nicol,"Nicol, J. F., Humphreys, M. A. & Raja, I. A. (1995). Developing Indoor Temperatures for Naturally Ventilated Buildings. Proceeding for CIBSE National Conference.",europe,uk,oxford,51.7520209,-1.2577263,west coast marine,office,naturally ventilated,1994,496,yes,no,yes,Europe/London,rp884,036580-99999,18.8,1.0,pass
182,no,Fergus Nicol,"Nicol, J. F., Humphreys, M. A. & Raja, I. A. (1995). Developing Indoor Temperatures for Naturally Ventilated Buildings. Proceeding for CIBSE National Conference.",europe,uk,oxford,51.7520209,-1.2577263,west coast marine,office,naturally ventilated,1994,334,yes,no,yes,Europe/London,rp884,036580-99999,18.8,1.0,pass
183,no,Fergus Nicol,"Nicol, J. F., Humphreys, M. A. & Raja, I. A. (1995). Developing Indoor Temperatures for Naturally Ventilated Buildings. Proceeding for CIBSE National Conference.",europe,uk,oxford,51.7520209,-1.2577263,west coast marine,office,naturally ventilated,1994,47,yes,no,yes,Europe/London,rp884,036580-99999,18.8,1.0,pass
184,no,Nigel Oseland,"Oseland, N. A. (1998). Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions, 104(1B)",europe,uk,midland,55.378051,-3.435973,hot-summer mediterranean,office,naturally ventilated,1995,720,no,no,no,Europe/London,NA,NA,NA,2.0,pass
185,no,Nigel Oseland,"Oseland, N. A. (1998). Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions, 104(1B)",europe,uk,midland,55.378051,-3.435973,hot-summer mediterranean,office,air conditioned,1995,705,no,no,no,Europe/London,NA,NA,NA,2.0,pass
186,no,Nigel Oseland,"Oseland, N. A. (1998). Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions, 104(1B)",europe,uk,midland,55.378051,-3.435973,hot-summer mediterranean,office,air conditioned,1996,1023,no,no,no,Europe/London,NA,NA,NA,2.0,pass
187,no,Nigel Oseland,"Oseland, N. A. (1998). Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions, 104(1B)",europe,uk,midland,55.378051,-3.435973,hot-summer mediterranean,office,naturally ventilated,1996,896,no,no,no,Europe/London,NA,NA,NA,2.0,pass
188,no,Nigel Oseland,"Oseland, N. A. (1998). Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions, 104(1B)",europe,uk,midland,55.378051,-3.435973,hot-summer mediterranean,office,air conditioned,1996,1250,no,no,no,Europe/London,NA,NA,NA,2.0,pass
189,no,Nigel Oseland,"Oseland, N. A. (1998). Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions, 104(1B)",europe,uk,midland,55.378051,-3.435973,hot-summer mediterranean,office,naturally ventilated,1996,1293,no,no,no,Europe/London,NA,NA,NA,2.0,pass
190,no,Nigel Oseland,"Oseland, N. A. (1998). Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions, 104(1B)",europe,uk,midland,55.378051,-3.435973,hot-summer mediterranean,office,naturally ventilated,1996,1501,no,no,no,Europe/London,NA,NA,NA,2.0,pass
191,no,Nigel Oseland,"Oseland, N. A. (1998). Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions, 104(1B)",europe,uk,midland,55.378051,-3.435973,hot-summer mediterranean,office,air conditioned,1996,1360,no,no,no,Europe/London,NA,NA,NA,2.0,pass
192,no,Nigel Oseland,"Oseland, N. A. (1998). Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions, 104(1B)",europe,uk,midland,55.378051,-3.435973,hot-summer mediterranean,office,air conditioned,1996,1097,no,no,no,Europe/London,NA,NA,NA,2.0,pass
193,no,Nigel Oseland,"Oseland, N. A. (1998). Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions, 104(1B)",europe,uk,midland,55.378051,-3.435973,hot-summer mediterranean,office,naturally ventilated,1996,935,no,no,no,Europe/London,NA,NA,NA,2.0,pass
194,no,Nigel Oseland,"Oseland, N. A. (1998). Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions, 104(1B)",europe,uk,midland,55.378051,-3.435973,hot-summer mediterranean,office,air conditioned,1995,1290,no,no,no,Europe/London,NA,NA,NA,2.0,pass
195,no,Nigel Oseland,"Oseland, N. A. (1998). Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions, 104(1B)",europe,uk,midland,55.378051,-3.435973,hot-summer mediterranean,office,air conditioned,1995,2096,no,no,no,Europe/London,NA,NA,NA,2.0,pass
196,no,Nigel Oseland,"Oseland, N. A. (1998). Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions, 104(1B)",europe,uk,midland,55.378051,-3.435973,hot-summer mediterranean,office,naturally ventilated,1995,1377,no,no,no,Europe/London,NA,NA,NA,2.0,pass
197,no,Nigel Oseland,"Oseland, N. A. (1998). Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions, 104(1B)",europe,uk,midland,55.378051,-3.435973,hot-summer mediterranean,office,naturally ventilated,1995,1010,no,no,no,Europe/London,NA,NA,NA,2.0,pass
198,no,Nigel Oseland,"Oseland, N. A. (1998). Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions, 104(1B)",europe,uk,midland,55.378051,-3.435973,hot-summer mediterranean,office,air conditioned,1995,1944,no,no,no,Europe/London,NA,NA,NA,2.0,pass
199,no,Nigel Oseland,"Oseland, N. A. (1998). Acceptable Temperature Ranges in Naturally Ventilated and Air-Conditioned Offices. ASHRAE Transactions, 104(1B)",europe,uk,midland,55.378051,-3.435973,hot-summer mediterranean,office,naturally ventilated,1995,1553,no,no,no,Europe/London,NA,NA,NA,2.0,pass
200,no,Salvatore Carlucci,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010). Thermal compliance in existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190",europe,italy,lodi,45.3097228,9.503716,humid subtropical,office,mixed mode,2008,79,no,yes,yes,Europe/Rome,original_data,160800-99999,23.3,2.0,pass
201,no,Salvatore Carlucci,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010). Thermal compliance in existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190",europe,italy,varese,45.8205989,8.8250576,temperate oceanic,office,mixed mode,2008,110,no,yes,yes,Europe/Rome,original_data,067710-99999,9,2.0,pass
202,no,Salvatore Carlucci,"P. Zangheri, L. Pagliano, R. Armani, M. Santamouris, A. Freire, J.L. Alexandre, F. Nicol (2010). Thermal compliance in existing buildings. Deliverable number: CC WP5 D5.1. Report of the European project: EIE-07-190",europe,italy,imola,44.3599996,11.7124294,humid subtropical,office,mixed mode,2009,60,no,yes,yes,Europe/Rome,original_data,161470-99999,33.9,2.0,pass
203,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,mixed mode,2019,59,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
204,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,naturally ventilated,2019,21,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
205,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,mixed mode,2019,3,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
206,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,naturally ventilated,2019,27,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
207,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,naturally ventilated,2019,15,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
208,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,mixed mode,2019,20,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
209,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,naturally ventilated,2019,1,no,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
210,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,mixed mode,2019,65,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
211,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,naturally ventilated,2019,47,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
212,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,naturally ventilated,2019,29,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
213,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,naturally ventilated,2019,52,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
214,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,mixed mode,2019,38,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
215,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,mixed mode,2019,160,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
216,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,naturally ventilated,2019,10,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
217,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,mixed mode,2019,18,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
218,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,mixed mode,2019,18,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
219,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,naturally ventilated,2019,32,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
220,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,mixed mode,2019,91,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
221,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,mixed mode,2019,17,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
222,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,naturally ventilated,2019,53,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
223,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,mixed mode,2019,12,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
224,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,mixed mode,2019,20,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
225,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,naturally ventilated,2019,12,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
226,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,mixed mode,2019,26,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
227,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,mixed mode,2019,83,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
228,no,Elisabetta Maria Patane,"Patane, E. M. (2021). The effects of thermal mass and air-conditioning on summer temperature thermal comfort and occupant behaviour in homes, PhD Thesis, University of Bath, Bath.",europe,italy,catania,37.5078772,15.0830304,temperate,multifamily housing,mixed mode,2019,106,categorical,yes,yes,Europe/Rome,original_data,164600-99999,4.8,2.1,pass
229,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,naturally ventilated,2020,5,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
230,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,naturally ventilated,2020,15,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
231,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,naturally ventilated,2020,8,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
232,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,naturally ventilated,2020,19,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
233,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,naturally ventilated,2020,7,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
234,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,naturally ventilated,2020,2,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
235,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,mixed mode,2020,13,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
236,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,mixed mode,2020,48,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
237,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,mixed mode,2020,1,no,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
238,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,mixed mode,2020,2,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
239,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,naturally ventilated,2020,8,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
240,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,naturally ventilated,2020,2,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
241,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,mixed mode,2020,1,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
242,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,mixed mode,2020,1,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
243,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,mixed mode,2020,1,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
244,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,mixed mode,2020,18,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
245,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,mixed mode,2020,2,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
246,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,naturally ventilated,2020,2,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
247,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,mixed mode,2020,2,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
248,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,naturally ventilated,2020,8,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
249,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,mixed mode,2020,1,no,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
250,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,naturally ventilated,2020,7,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
251,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,naturally ventilated,2020,14,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
252,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,mixed mode,2020,10,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
253,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,naturally ventilated,2020,17,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
254,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,naturally ventilated,2020,4,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
255,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,mixed mode,2021,1,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
256,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,naturally ventilated,2020,5,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
257,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,naturally ventilated,2020,1,no,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
258,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,naturally ventilated,2020,3,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
259,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,mixed mode,2020,3,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
260,no,Rajan Rawal,https://doi.org/10.1016/j.buildenv.2022.109187,asia,india,ahmedabad,23.022505,72.5713621,hot semi-arid,multifamily housing,mixed mode,2020,4,categorical,yes,yes,Asia/Kolkata,original_data,426470-99999,8.9,2.1,pass
